Strike,G_S,G_SS,Strike
3435.0,4.527442105620172,434453.032405892,3435.0
3440.0,42.30899846077718,4059968.576190768,3440.0
3445.0,11.710180161869644,1123708.0812205535,3445.0
3450.0,4399.171782029615,422144220.99504596,3450.0
3455.0,1.4253553575552247,136777.00186980667,3455.0
3460.0,64.64922491364322,6203735.166830026,3460.0
3465.0,2.6076352539483594,250228.49924023228,3465.0
3470.0,11.645669270782255,1117517.6205581562,3470.0
3475.0,1480.0567837062185,142026146.95301497,3475.0
3480.0,27.337037780947316,2623260.2612817124,3480.0
3485.0,1.0346607307032407,99285.97240532677,3485.0
3490.0,34.42609667743402,3303525.864382281,3490.0
3495.0,0.17578233184323278,16868.060448055174,3495.0
3500.0,5912.694659489792,567381771.9980737,3500.0
3505.0,-2.205599147264703,-211649.14215280523,3505.0
3510.0,12.004427134053309,1151944.0003906197,3510.0
3515.0,0.4891437819787292,46938.20360493282,3515.0
3520.0,8.61336724169992,826538.1268458006,3520.0
3525.0,1385.042511166397,132908583.9088574,3525.0
3530.0,42.88285803130676,4115036.1010260894,3530.0
3535.0,0.4694469906696419,45048.100868494446,3535.0
3540.0,25.163863746048563,2414722.6306766756,3540.0
3545.0,0.03455144931274745,3315.5546946271525,3545.0
3550.0,2484.1353349705914,238377455.52723408,3550.0
3555.0,0.04266827169363552,4094.444410853306,3555.0
3560.0,0.5820396724864896,55852.48685530115,3560.0
3565.0,0.6066670186488654,58215.725295627526,3565.0
3570.0,0.30403031021919436,29174.72761364879,3570.0
3575.0,577.6915335079514,55435239.73861174,3575.0
3580.0,0.10584733814433811,10157.10327290875,3580.0
3590.0,0.02777745447546387,2665.5226169322405,3590.0
3600.0,4523.956860482341,434118588.5226828,3600.0
3610.0,0.4228977095177555,40581.235057522084,3610.0
3620.0,-0.013627891370937562,-1307.7315166663834,3620.0
3625.0,885.4374744610982,84966519.02139448,3625.0
3630.0,0.026090501446807135,2503.6427205738905,3630.0
3650.0,1758.0062623810468,168698159.76926163,3650.0
3675.0,612.076918919402,58734858.95271625,3675.0
3700.0,2306.742892401716,221354888.9649215,3700.0
3725.0,255.8716596101629,24553426.82049296,3725.0
3750.0,1134.2099496355063,108838708.59273662,3750.0
3775.0,125.33404713940821,12027046.524973748,3775.0
3800.0,1200.2687003404012,115177701.75734498,3800.0
3850.0,209.73602665714728,20126254.66217395,3850.0
3900.0,931.1307418286251,89351241.8086196,3900.0
3950.0,8.276597954104403,794221.769219621,3950.0
4000.0,418.5947544093731,40168323.78189858,4000.0
4050.0,3.804708363475129,365099.5523233541,4050.0
4100.0,204.36988460895145,19611320.041085053,4100.0
4200.0,154.42037812108885,14818168.841229543,4200.0
4300.0,82.91775283594122,7956781.847113722,4300.0
4400.0,64.3193602961334,6172081.38086937,4400.0
4500.0,19.40797501348568,1862387.9446188156,4500.0
4600.0,16.82689652628133,1614707.8308849405,4600.0
4700.0,21.94302942595816,2105651.5913135847,4700.0
4800.0,11.881119277315499,1140111.3869569302,4800.0
4900.0,7.12797267610199,683999.7667103582,4900.0
